drug_1,drug_2,drug_3,synergy_score
capecitabine,gemcitabine,panobinostat,0.22277129742034463
alpelisib,anastrozole,fulvestrant,0.21807497681675161
epirubicin,letrozole,paclitaxel,0.21595392692579293
epirubicin,everolimus,paclitaxel,0.21593669710608623
anastrozole,epirubicin,paclitaxel,0.2158708155590649
epirubicin,exemestane,paclitaxel,0.21574583875247233
epirubicin,fulvestrant,paclitaxel,0.2157421129358116
epirubicin,goserelin,paclitaxel,0.21573961621336052
epirubicin,lY2835219,paclitaxel,0.21573790277085209
degarelix,epirubicin,paclitaxel,0.2157354772277618
epirubicin,paclitaxel,palbociclib,0.2157346688692989
entrectinib,epirubicin,paclitaxel,0.2157339077514713
alpelisib,epirubicin,paclitaxel,0.21573264377522433
epirubicin,paclitaxel,tucatinib,0.21573253690923735
epirubicin,midazolam,paclitaxel,0.21573244370079964
canagliflozin,epirubicin,paclitaxel,0.2157324437007995
epirubicin,fentanyl,paclitaxel,0.21573244370079933
epirubicin,hydroxychloroquine,paclitaxel,0.2157324437007992
epirubicin,paclitaxel,propofol,0.2157324437007992
epirubicin,pF-03084014,paclitaxel,0.21573244370079883
everolimus,fulvestrant,letrozole,0.21561375998135576
everolimus,goserelin,letrozole,0.21393686794211028
alpelisib,fulvestrant,letrozole,0.21245201956054804
degarelix,exemestane,letrozole,0.2118774586563327
capecitabine,eribulin,letrozole,0.21000526681806395
capecitabine,everolimus,panobinostat,0.20992266430744308
anastrozole,capecitabine,eribulin,0.20917900440715437
goserelin,letrozole,vinorelbine,0.20845153337488842
capecitabine,letrozole,panobinostat,0.2067674645559728
capecitabine,everolimus,paclitaxel,0.2063265024721612
capecitabine,letrozole,paclitaxel,0.20627894049559686
fulvestrant,letrozole,palbociclib,0.20594679147993525
anastrozole,capecitabine,paclitaxel,0.20542771339470217
alpelisib,fulvestrant,goserelin,0.20458257907314994
anastrozole,everolimus,fulvestrant,0.20435493963376578
capecitabine,eribulin,everolimus,0.20428294594323115
anastrozole,fulvestrant,tucatinib,0.20427259138292722
fulvestrant,lY2835219,letrozole,0.2042046798377695
capecitabine,exemestane,paclitaxel,0.20409489884620122
anastrozole,entrectinib,exemestane,0.20405193831194862
capecitabine,fulvestrant,paclitaxel,0.20404495212258367
capecitabine,goserelin,paclitaxel,0.20402464688400332
capecitabine,lY2835219,paclitaxel,0.20400331938146388
capecitabine,degarelix,paclitaxel,0.20398657649522248
capecitabine,paclitaxel,palbociclib,0.2039675954559473
capecitabine,entrectinib,paclitaxel,0.20396158784430354
alpelisib,capecitabine,paclitaxel,0.2039409138241485
capecitabine,paclitaxel,tucatinib,0.2039397617751409
capecitabine,hydroxychloroquine,paclitaxel,0.2039382777430816
capecitabine,paclitaxel,propofol,0.2039382777430815
capecitabine,midazolam,paclitaxel,0.2039382777430815
canagliflozin,capecitabine,paclitaxel,0.20393827774308124
capecitabine,pF-03084014,paclitaxel,0.20393827774308093
capecitabine,fentanyl,paclitaxel,0.20393827774308054
anastrozole,capecitabine,panobinostat,0.20330529075307635
capecitabine,eribulin,exemestane,0.20230709572337813
capecitabine,eribulin,fulvestrant,0.20215269082394702
capecitabine,eribulin,goserelin,0.20209853368606046
capecitabine,eribulin,lY2835219,0.20199980569172207
capecitabine,degarelix,eribulin,0.20197986848353497
capecitabine,exemestane,panobinostat,0.2019527108709004
capecitabine,eribulin,palbociclib,0.20192412913182192
capecitabine,entrectinib,eribulin,0.20188766644557588
