DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DCXCQLL	DMOWLVG	nitazoxanide	Phase 3 Trial	25.0	DMQ4TJK	dutasteride	Approved	34.0	DMS6UOE	azithromycin	.	.	Covid19	ClinicalTrials.gov	Phase 2	.					3
DCWSC1S	DMJIBAW	budesonide	Phase 3 Trial	25.0	DMPQAGE	mycophenolate mofetil	Investigative	0.0	DMZ7XNQ	tacrolimus	.	.	Acute Cellular Graft Rejection	ClinicalTrials.gov	Phase 4	.					3
DCIRMI3	DMJIBAW	budesonide	Phase 3 Trial	25.0	DMSOURV	formoterol	Approved	34.0	DM5EN79	levamisole	.	.	Coronavirus Disease 2019 (COVID-19)	TTD Database	Phase 2	.					3
DC5WV96	DM3O8QY	degarelix	Approved	34.0	DMGL19D	enzalutamide	Approved	34.0	DMZ4Q0B	dasatinib	.	.	Prostate Cancer	ClinicalTrials.gov	Phase 2	.					3
DCNMY6P	DM3O8QY	degarelix	Approved	34.0	DM93VBZ	lY2835219	Approved	34.0	DMNP60F	anastrozole	.	.	Male Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DC0WGVW	DMDEXQ0	febuxostat	Approved	34.0	DMUFIO9	m102	Preclinical	2.1	DMYMS40	colchicine	.	.	Gout	ClinicalTrials.gov	Phase 2	.					3
DCGZRKA	DMDEXQ0	febuxostat	Approved	34.0	DMUFIO9	m102	Preclinical	2.1	DMYMS40	colchicine	.	.	Hyperuricemia	ClinicalTrials.gov	Phase 2	.					3
DCDPW4T	DMI4EL5	ketorolac	Approved	34.0	DMRQD04	tramadol	Approved	34.0	DMUIE76	acetaminophen	.	.	Arthritis Knee	ClinicalTrials.gov	Phase 1	.					3
DCX2CN8	DMDZ6Q3	napabucasin	Phase 3	25.0	DMQNWRD	oxaliplatin	Approved	34.0	DMTS85L	capecitabine	.	.	Advanced Gastrointestinal Cancer	ClinicalTrials.gov	Phase 1	.					3
DC2D81A	DMDL27I	oxytocin	Phase 2 Trial	21.0	DMDL27I	oxytocin	Phase 2 Trial	21.0	DMUSLW3	carbetocin	.	.	Postpartum Hemorrhage	ClinicalTrials.gov	Phase 1	.					3
DC30LCB	DMDL27I	oxytocin	Phase 2 Trial	21.0	DMS3508	carboprost tromethamine	Approved	34.0	DMUSLW3	carbetocin	.	.	Postpartum Hemorrhage	ClinicalTrials.gov	Phase 1	.					3
DCSPUVW	DMDL27I	oxytocin	Phase 2 Trial	21.0	DMUSLW3	carbetocin	Approved	34.0	DMUSLW3	carbetocin	.	.	Postpartum Hemorrhage	ClinicalTrials.gov	Phase 1	.					3
DCZAJNU	DMAOL2S	voriconazole	Approved	34.0	DMSYRBX	atazanavir	Approved	34.0	DMU764S	ritonavir	.	.	Human Immunodeficiency Virus Type 1 (HIV-1)	ClinicalTrials.gov	Phase 1	.					3
DC4Q6ZY	DM7GCVW	acalabrutinib	Approved	34.0	DMM4WAK	zanubrutinib	Phase 2 Trial	21.0	DMYZJGB	ibrutinib	.	.	Lymphoma, Mantle-Cell	ClinicalTrials.gov	Phase 3	.					3
DC02PGU	DM7GCVW	acalabrutinib	Approved	34.0	DMLOS5R	bay 80-6946	Approved	34.0	DMYZJGB	ibrutinib	.	.	Chronic Lymphocytic Leukemia (CLL)	ClinicalTrials.gov	Phase 2	.					3
DCXT5OW	DM7GCVW	acalabrutinib	Approved	34.0	DM7GCVW	acalabrutinib	Approved	34.0	DM7GCVW	acalabrutinib	.	.	Pharmacokinetics	ClinicalTrials.gov	Phase 1	.					3
DCFX6J6	DM6T924	gabapentin	Approved	34.0	DM8VCBE	ibuprofen	Approved	34.0	DMRQD04	tramadol	.	.	Pain	ClinicalTrials.gov	Phase 4	.					3
DCRRWHR	DM6T924	gabapentin	Approved	34.0	DMJHLSD	famciclovir	Approved	34.0	DMXLKHV	oxycodone	.	.	Herpes Zoster	ClinicalTrials.gov	Phase 1	.					3
DCRB956	DM96SE0	haloperidol	Approved	34.0	DMA4MRX	perphenazine	Approved	34.0	DMCVPXO	lurasidone hydrochloride	.	.	Schizophrenia	ClinicalTrials.gov	Phase 4	.					3
DCRSBCG	DMGEMB7	hydrocortisone	Phase 3 Trial	25.0	DMMZSXQ	azathioprine	Approved	34.0	DMQ8FR2	prednisolone	.	.	Ulcerative Colitis	ClinicalTrials.gov	Phase 4	.					3
DCGH2QK	DM4BDON	methylprednisolone	Phase 3 Trial	25.0	DMRBMAU	mycophenolic acid	Investigative	0.0	DMUYKBZ	cyclosporin A	.	.	Renal Transplanted Recipients	ClinicalTrials.gov	Phase 4	.					3
DCZ0EWR	DM4BDON	methylprednisolone	Phase 3 Trial	25.0	DMMZSXQ	azathioprine	Approved	34.0	DMQ7WL7	prednisone	.	.	IgA Nephropathy	ClinicalTrials.gov	Phase 1	.					3
DCD0UHD	DM8Y4JS	aC220	Approved	34.0	DMM0XGL	idarubicin	Approved	34.0	DMZD5QR	cytarabine	.	.	Acute Myeloid Leukemia	ClinicalTrials.gov	Phase 2	.					3
DCGLUFR	DM8Y4JS	aC220	Approved	34.0	DMNH3PG	etoposide	Phase 2 Trial	21.0	DMZD5QR	cytarabine	.	.	Lymphoblastic Leukemia, Acute, Childhood	ClinicalTrials.gov	Phase 1	.					3
DC2DVIE	DM2EJM3	aKB-6548	Phase 3	25.0	DM30SGU	simvastatin	Approved	34.0	DMBR0QK	atorvastatin	.	.	Drug Interaction Potentiation	ClinicalTrials.gov	Phase 1	.					3
DC38281	DM2EJM3	aKB-6548	Phase 3	25.0	DM6A0X7	pravastatin	Approved	34.0	DMICA9H	sulfasalazine	.	.	Drug Interaction Potentiation	ClinicalTrials.gov	Phase 1	.					3
DCJG3RL	DMPRI8G	buprenorphine	Approved	34.0	DMPRI8G	buprenorphine	Approved	34.0	DMPRI8G	buprenorphine	.	.	Back Pain Lower Back Chronic	ClinicalTrials.gov	Phase 3	.					3
DCZAKYG	DM0659E	cannabidiol	Approved	34.0	DM2TEOL	methotrexate	Phase 1/2 Trial	19.0	DMUYKBZ	cyclosporin A	.	.	Graft vs Host Disease	ClinicalTrials.gov	Phase 2	.					3
